"L&S","","","","","","","","","","","","","","","","","","",""
"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","142","3.820","81.0","10.6","4.9","1.4","1.4",".","0.7",".",".",".",".",".",".",".",".","."
"Literatures of Native America","172
001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indians of Wisconsin","250
001","42","3.731","78.6","2.4","2.4","4.8","2.4",".","2.4","7.1",".",".",".",".",".",".",".","."
"First Semester Ojibwe","301
001","42","3.439","40.5","31.0","14.3","7.1","2.4",".","2.4",".",".",".",".",".","2.4",".",".","."
"IndigenousPeoples&Environment","306
001","15","3.500","60.0","13.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354
001","24","3.227","50.0","16.7","4.2","8.3",".","4.2","8.3","4.2",".",".",".",".",".",".","4.2","."
"Survey-N Amer Indian Languages","371
001","15","3.714","53.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Issues in Amer Ind Studies","450
013","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","474
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"AMER IND
140","Dept. Total","324","3.712","71.3","13.6","6.2","3.1","1.2","0.6","1.5","1.5",".",".",".",".","0.3","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","120","3.807","75.8","14.2","5.8","0.8","2.5",".",".",".",".",".",".",".","0.8",".",".","."
"Sophomore","","88","3.744","72.7","14.8","5.7","4.5","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Junior","","47","3.564","68.1","14.9","6.4","4.3",".","2.1","4.3",".",".",".",".",".",".",".",".","."
"Senior","","55","3.787","72.7","12.7","9.1","3.6",".",".",".","1.8",".",".",".",".",".",".",".","."
"Undergraduates","","310","3.748","73.2","14.2","6.5","2.9","1.3","0.6","0.6","0.3",".",".",".",".","0.3",".",".","."
"Special","","10","0.625",".",".",".","10.0",".",".","30.0","40.0",".",".",".",".",".","10.0","10.0","."
"Graduate","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","324","3.712","71.3","13.6","6.2","3.1","1.2","0.6","1.5","1.5",".",".",".",".","0.3","0.3","0.3","."
