"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","34","1.227","11.8","2.9","20.6",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Legal Sources","602
001","30","1.333","3.3",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","61","0.885",".",".","29.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","63","0.762",".",".","25.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","62","1.290","11.3",".","25.8",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","711
004","68","1.176","5.9",".","29.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","711
005","55","1.182","10.9",".","23.6",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Contracts I","Course Total","309","1.058","5.5",".","26.9",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","714
001","55","1.255","5.5",".","30.9",".","5.5",".",".",".",".",".",".",".",".",".",".","."
"","714
002","58","1.483","8.6",".","37.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
003","53","0.472",".",".","13.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","714
004","54","1.574","1.9",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714
005","56","1.196","1.8",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure I","Course Total","276","1.203","3.6",".","34.1",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","723
001","22","1.773",".",".","59.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","21","1.143","4.8",".","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","723
003","21","0.857",".",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","22","0.864","4.5",".","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","22","1.545","4.5",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","22","1.136","4.5",".","31.8",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","723
007","20","1.200","5.0",".","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
008","21","0.905","4.8",".","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","21","0.762","4.8",".","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","22","1.136","4.5",".","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","19","0.947",".",".","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","22","1.136","4.5",".","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
013","19","0.895",".",".","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","274","1.106","3.3",".","31.8",".","1.1",".","0.4",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","725
001","37","1.472","5.4",".","35.1",".","8.1",".",".","2.7",".",".",".",".",".",".",".","."
"","726
001","76","1.500","2.6",".","44.7",".","2.6",".","1.3",".",".",".",".",".",".",".",".","."
"","726
002","67","0.970","7.5",".","19.4",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","726
003","55","0.982","7.3",".","21.8",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","726
004","75","1.560","14.7",".","28.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","273","1.282","8.1",".","29.3",".","4.0",".","0.4",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","13","1.333","7.7",".","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Constitutional Law I","731
001","32","1.161",".",".","37.5",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","34","1.182","11.8",".","17.6",".","5.9","2.9",".","2.9",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","16","1.200","18.8",".","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","740
001","39","1.077","10.3",".","15.4",".","10.3",".",".",".",".",".",".",".",".",".",".","."
"","740
002","33","1.355","18.2",".","12.1",".","9.1",".",".","6.1",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","72","1.200","13.9",".","13.9",".","9.7",".",".","2.8",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","40","1.243","12.5",".","20.0",".","2.5",".",".","5.0",".",".",".",".",".",".","2.5","."
"Taxation I","742
001","61","0.936","8.2",".","9.8",".","4.9",".",".","23.0",".",".",".",".",".",".",".","."
