"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","6","3.923","83.3","16.7",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","10","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","14","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","30","3.984","96.7","3.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","31","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","384","3.289","37.2","20.1","25.3","8.1","7.6","1.8","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","17","",".",".",".",".",".",".","",".","88.2","",".",".","",".","",".","",".",".","11.8","."
"Professionals","402","3.289","35.6","19.2","24.1","7.7","7.2","1.7","",".","4.0","",".",".","",".","",".","",".",".","0.5","."
