"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"401","147","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Piano","Course Total","","4","***","","","","","","","","","","","","","","","",""
"402
Advanced Harpsichord","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"405","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"405","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"405","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"405","062","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405","145","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"405","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405","162","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Voice","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"407","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"407","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Flute","Course Total","","2","***","","","","","","","","","","","","","","","",""
"409
Advanced Oboe","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Advanced Clarinet","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"413
Advanced Saxophone","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"417
Advanced Horn","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"419","063","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"419","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trumpet","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421
Advanced Trombone","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"423
Advanced Euphonium","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Advanced Tuba","135","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"427","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"427","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"427","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"427","192","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Percussion","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"431","125","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Violin","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"433","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"433","173","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Viola","Course Total","","2","***","","","","","","","","","","","","","","","",""
"435","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"435","126","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"435","171","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Cello","Course Total","","6","3.941","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"437
Advanced String Bass","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"439
Advanced Harp","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 296 of 438",""
