"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","",""
"FOREST AND WILDLIFE ECOLO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ-F & W Ecology","1","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Orientation to Wildlfe Ecology","101","001","33","3.727","78.8","9.1",".","9.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","171","2.793","9.4","21.6","26.9","20.5","12.3","6.4","1.8","1.2",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","044","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Diseases of Trees and Shrubs","309","001","9","3.056",".","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","31","2.919","12.9","19.4","32.3","16.1","16.1","3.2",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","44","3.545","50.0","20.5","22.7","2.3","4.5",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","002","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","006","36","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","007","37","3.838","86.5",".","10.8",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","108","3.827","84.3","8.3","6.5",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","42","3.037","19.0","16.7","31.0","19.0","9.5","2.4",".",".",".",".",".",".",".","2.4",".","."
"Dendrology","402","001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Damage Management","404","001","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Tree Physiology","415","001","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","30","3.133","13.3","36.7","33.3","10.0",".","6.7",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","58","2.750","15.5","15.5","22.4","17.2","22.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"","550","001","23","3.413","60.9","13.0","13.0",".","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"","550","002","18","3.639","55.6","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","","Course Total","41","3.512","58.5","17.1","14.6","2.4","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","001","23","3.239","34.8","30.4","13.0",".","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"","571","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","9","3.444","44.4",".","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","6","3.375","16.7","16.7","33.3",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"Climate Change Ecology","660","001","27","3.660","51.9","25.9","7.4","7.4",".",".",".","3.7",".",".",".",".",".","3.7",".","."
"","675","001","21","3.850","81.0",".","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","675","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","003","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop-Forest/Wildlife","","Course Total","30","3.845","80.0","3.3","13.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Senior Thesis","691","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
