"","990
072","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
074","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
081","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","","16","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"PHYSIOL
762","Dept. Total","","46","3.802","52.2","6.5","6.5",".","",".","",".","",".","34.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","8","3.750","62.5","25.0","12.5",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","37","3.905","51.4",".","5.4",".","",".","",".","",".","43.2","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","46","3.802","52.2","6.5","6.5",".","",".","",".","",".","34.8","",".",".","",".","",".","",".",".",".","."
