"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","113","3.863","82.3","9.7","6.2","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","102","3.848","82.4","8.8","5.9","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","301
003","101","3.855","83.2","8.9","4.0","2.0",".","1.0",".","1.0",".",".",".",".",".",".",".","."
"How People Learn","Course Total","316","3.856","82.6","9.2","5.4","1.9","0.3","0.3",".","0.3",".",".",".",".",".",".",".","."
"","320
001","95","3.463","42.1","33.7","12.6","4.2","4.2","3.2",".",".",".",".",".",".",".",".",".","."
"","320
002","113","3.752","66.4","21.2","9.7","1.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","208","3.620","55.3","26.9","11.1","2.9","2.4","1.4",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","86","3.576","39.5","45.3","7.0","5.8",".","1.2",".","1.2",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","102","3.559","47.1","32.4","12.7","4.9","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","83","3.873","81.9","13.3","3.6",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"","470
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
025","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
077","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","63","3.984","98.4",".","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","506
003","50","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","26","3.827","69.2","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
006","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","506
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","114","3.912","85.1","11.4","1.8","0.9",".",".",".","0.9",".",".",".",".",".",".",".","."
"Thinking, Feeling, & Learning","533
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Found of Ed Measurement","570
001","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","621
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supervision of Schl Personnel","631
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","8","3.944","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","33","3.988","97.0",".","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
