"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","25","3.984","96.0",".","4.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","36","3.989","97.2",".","2.8","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","52","3.963","61.5",".","1.9","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","36.5","."
"Prof Yr 4","","26","3.895","76.9","19.2",".","",".","",".","",".","",".","3.8","",".",".","",".","",".","",".",".",".","."
"Professionals","","26","3.895","76.9","19.2",".","",".","",".","",".","",".","3.8","",".",".","",".","",".","",".",".",".","."
