"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","9","2.833","11.1","11.1","66.7",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","456
001","60","3.292","30.0","21.7","36.7",".","11.7",".",".",".",".",".",".",".",".",".",".","."
"","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","3","***","","","","","","","","","","","","","","","",""
"Spec Topics in Stats","479
002","72","3.500","33.3","44.4","13.9","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostat Mthd-Pub Hlth","511
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","571
001","57","3.455","36.8","31.6","21.1","1.8","7.0",".",".","1.8",".",".",".",".",".",".",".","."
"","571
002","59","3.427","35.6","25.4","22.0","3.4","6.8",".",".","6.8",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","116","3.441","36.2","28.4","21.6","2.6","6.9",".",".","4.3",".",".",".",".",".",".",".","."
"","601
001","46","3.489","32.6","32.6","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","36","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Methods I","Course Total","82","3.591","40.2","37.8","22.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","34","3.338","44.1","20.6","14.7","11.8","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"","610
001","47","3.468","29.8","36.2","31.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","31","3.629","74.2","3.2","9.7","6.5","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","78","3.532","47.4","23.1","23.1","3.8","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"","632
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
004","13","3.692","69.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","20","3.450","50.0","5.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","20","3.921","90.0",".",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","679
001","33","3.788","75.8","6.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679
002","46","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Statistics","Course Total","79","3.899","87.3","5.1","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
262","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
114","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
120","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Time Series Anal I","701
001","28","3.607","39.3","50.0","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709
001","23","3.522","39.1","26.1","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726
001","16","3.250","25.0","31.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 337 of 438",""
