"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","152","3.254","19.7","32.9","23.0","9.9","5.3","1.3",".","7.9",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","146","3.645","47.9","35.6","8.9","2.7","0.7","0.7",".","2.7",".",".",".",".","0.7",".",".","."
"Intro-E Asian History:China","103","001","50","3.881","66.0","16.0","2.0",".",".",".",".","14.0",".",".",".",".",".","2.0",".","."
"Intro-E Asian History:Japan","104","001","49","2.795","12.2","18.4","18.4","22.4","10.2","6.1","2.0","10.2",".",".",".",".",".",".",".","."
"Intro-History of Africa","105","001","68","3.823","66.2","17.6","7.4",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","57","3.020","19.3","19.3","21.1","15.8","8.8","5.3",".","10.5",".",".",".",".",".",".",".","."
"Late Antiquity (200-900 C.E.)","112","001","50","3.676","46.0","12.0","12.0","4.0",".",".",".","6.0",".",".",".",".",".",".","20.0","."
"Modern Europe 1500-1815","119","001","51","3.563","41.2","29.4","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","151","3.582","36.4","39.7","13.9","2.6","0.7",".",".","6.6",".",".",".",".",".",".",".","."
"English History to 1688","123","001","47","3.213","12.8","31.9","23.4","12.8","4.3",".",".","14.9",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","002","40","3.625","42.5","45.0","7.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to World History","130","001","142","3.838","75.4","14.1","2.8","2.8","0.7",".",".","0.7",".",".",".",".","0.7",".","2.8","."
"History of Biology","132","001","50","3.460","16.0","18.0","14.0",".","2.0",".",".","50.0",".",".",".",".",".",".",".","."
"Women in World History","134","001","20","3.219","35.0","25.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","20.0","."
"Sport, Rec., & Society in U.S.","136","001","71","3.522","54.9","22.5","5.6","8.5","1.4","2.8","1.4",".",".",".",".",".",".",".","2.8","."
"Middle East-20th Century","139","001","29","3.327","24.1","41.4","6.9","10.3","3.4","3.4",".","10.3",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160","001","64","3.540","54.7","21.9","7.8","7.8","1.6","1.6","1.6",".",".",".",".",".",".",".",".","3.1"
"Directed Study","199","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Studies","200","001","17","3.563","35.3","35.3","23.5",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","201","001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","42","3.050","9.5","26.2","33.3","21.4","2.4","2.4",".",".",".",".",".",".","4.8",".",".","."
"","201","004","12","3.545","50.0","8.3","25.0","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","201","005","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","006","14","3.538","42.9","42.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".","7.1"
"","201","007","15","3.393","26.7","33.3","20.0","13.3",".",".",".",".",".",".",".",".","6.7",".",".","."
"","201","009","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201","010","13","3.083","23.1","30.8","15.4","15.4",".",".","7.7",".",".",".",".",".",".","7.7",".","."
"The Historian's Craft","","Course Total","138","3.321","29.0","31.2","21.7","10.9","0.7","1.4","0.7",".",".",".",".",".","2.9","0.7",".","0.7"
"West Intell & Rel Hist to 1500","208","001","34","3.571","35.3","23.5","23.5",".",".",".",".","14.7",".",".",".",".",".",".","2.9","."
"The American Jewish Experience","219","001","71","3.457","32.4","36.6","23.9","2.8","1.4","1.4",".","1.4",".",".",".",".",".",".",".","."
"","221","001","140","2.971","32.1","15.7","17.9","8.6","12.9","6.4","4.3",".","0.7",".",".",".","0.7",".",".","0.7"
"","221","002","40","2.961","12.5","37.5","10.0","15.0","15.0","2.5","2.5",".",".",".",".",".",".","5.0",".","."
"Explorations in Amer Hist (H)","","Course Total","180","2.969","27.8","20.6","16.1","10.0","13.3","5.6","3.9",".","0.6",".",".",".","0.6","1.1",".","0.6"
"Exploration-European Hist (H)","223","002","72","3.601","54.2","25.0","8.3","4.2","2.8",".","1.4",".",".",".",".",".",".",".","4.2","."
"Exploration-European Hist (S)","224","001","50","3.359","32.0","26.0","20.0","8.0","4.0","2.0",".","8.0",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","29","3.192","24.1","27.6","17.2","13.8","3.4",".","3.4","10.3",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","18","3.469","38.9","5.6","44.4",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"American Legal History to 1860","261","001","9","3.188","11.1","44.4","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","11.1"
"Asian Religions","267","001","14","3.885","78.6","7.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"US & Ltn Am:Col Era to Present","268","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","30","3.179","13.3","46.7","26.7",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 245 of 438",""
