"L&S","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","301
001","132","2.936","20.5","11.4","34.8","12.1","15.9","5.3",".",".",".",".",".",".",".",".",".","."
"","301
002","141","3.036","23.4","17.7","27.0","10.6","17.0","2.1","0.7","1.4",".",".",".",".",".",".",".","."
"","301
003","139","2.745","12.2","16.5","30.2","11.5","20.9","6.5","2.2",".",".",".",".",".",".",".",".","."
"","301
004","103","3.354","32.0","29.1","24.3","10.7","2.9",".","1.0",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","515","2.995","21.4","18.1","29.3","11.3","15.0","3.7","1.0","0.4",".",".",".",".",".",".",".","."
"Acc Intro to Stat Meth","302
001","79","3.187","35.4","20.3","15.2","7.6","11.4","2.5","2.5",".",".",".",".",".",".",".",".","5.1"
"Intro to Prob & Math Stat I","309
001","57","3.298","42.1","26.3","10.5","8.8","7.0","1.8","3.5",".",".",".",".",".",".",".",".","."
"","310
001","43","3.244","27.9","32.6","16.3","11.6","9.3","2.3",".",".",".",".",".",".",".",".",".","."
"","310
002","60","3.342","38.3","23.3","23.3","5.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","Course Total","103","3.301","34.0","27.2","20.4","7.8","7.8","2.9",".",".",".",".",".",".",".",".",".","."
"","311
001","76","3.112","31.6","13.2","30.3","6.6","14.5","2.6","1.3",".",".",".",".",".",".",".",".","."
"","311
002","79","2.808","27.8","7.6","25.3","5.1","24.1","2.5","6.3",".",".",".",".",".","1.3",".",".","."
"","311
003","84","2.869","17.9","15.5","27.4","17.9","16.7","1.2","3.6",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","239","2.926","25.5","12.1","27.6","10.0","18.4","2.1","3.8",".",".",".",".",".","0.4",".",".","."
"","312
001","59","3.763","72.9","13.6","10.2",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","312
002","50","3.310","28.0","34.0","20.0","12.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","109","3.555","52.3","22.9","14.7","5.5","3.7","0.9",".",".",".",".",".",".",".",".",".","."
"","324
001","166","3.087","30.7","12.7","27.1","12.0","13.3","3.6","0.6",".",".",".",".",".",".",".",".","."
"","324
002","124","3.242","33.1","17.7","28.2","8.1","12.1","0.8",".",".",".",".",".",".",".",".",".","."
"","324
003","135","3.030","28.1","9.6","31.9","12.6","10.4","6.7",".",".",".",".",".",".","0.7",".",".","."
"Intro Applied Stats for Engrs","Course Total","425","3.114","30.6","13.2","28.9","11.1","12.0","3.8","0.2",".",".",".",".",".","0.2",".",".","."
"","327
001","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
002","48","3.979","93.8","4.2",".",".",".",".",".",".",".",".",".",".",".","2.1",".","."
"","327
003","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
004","42","3.463","45.2","11.9","31.0",".","7.1",".",".",".",".",".",".",".",".","4.8",".","."
"","327
005","27","3.420","44.4","14.8","14.8","11.1","7.4",".",".","3.7",".",".",".",".",".","3.7",".","."
"","327
006","18","3.824","88.9",".",".",".",".","5.6",".",".",".",".",".",".",".","5.6",".","."
"","327
007","45","3.411","57.8","20.0","6.7","4.4","2.2","4.4","4.4",".",".",".",".",".",".",".",".","."
"","327
008","27","3.500","59.3","14.8","14.8","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"","327
009","16","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
