"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","16","3.313","37.5","31.3","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","85","3.571","57.6","10.6","22.4","3.5","4.7",".",".",".",".",".",".",".",".",".","1.2","."
"528
Immunology","001","","30","3.431","46.7","13.3","23.3","3.3","10.0",".",".","3.3",".",".",".",".",".",".",".","."
"554
Infect Diseases & Bioterrorism","001","","33","3.939","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Biology and Genetics of Fungi","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"677","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"677","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
First Semester Senior Thesis","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"696
Critical Thinking in M M & I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".","3.6",".",".",".","."
"704
Infect Disease-Human Beings","001","","54","3.667","51.9","29.6","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Mech Microbial Pathogenesis","001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","34","",".",".",".",".",".",".",".","2.9",".",".",".","97.1",".",".",".","."
