"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","281","3.061","17.8","21.0","38.4","8.2","10.0","3.6","0.4",".",".",".",".",".",".",".","0.7","."
"Weather and Climate","101","001","80","3.444","36.3","32.5","25.0","1.3","3.8",".","1.3",".",".",".",".",".",".",".",".","."
"Natural Hazards and Disasters","140","001","124","3.375","35.5","34.7","16.1","6.5","4.0","1.6","1.6",".",".",".",".",".",".",".",".","."
"Natural Hazards of Weather","141","001","15","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","28","3.615","57.1","10.7","14.3","10.7",".",".",".","3.6",".",".",".",".","3.6",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","25","2.900","16.0","16.0","24.0","20.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","23","2.891","26.1","8.7","26.1","21.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","335","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meteorological Measurements","404","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","7","3.286","42.9",".","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatological Analysis","575","001","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Climatology","925","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem","953","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research","","Course Total","29","",".",".",".",".",".",".",".","34.5","3.4",".",".","62.1",".",".",".","."
