"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","79","3.344","32.9","30.4","19.0","8.9","3.8","1.3","1.3","2.5",".",".",".",".",".",".",".","."
"121
Horticulture Colloquium","001","","35","3.742","68.6","14.3",".","2.9",".",".","2.9","11.4",".",".",".",".",".",".",".","."
"234
Ornamental Plants","001","","22","3.800","63.6","18.2","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"261
Sustainable Turf Management","001","","19","3.553","63.2","10.5","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"262
Turfgrass Management Lab","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","14","2.000","14.3",".","21.4",".","35.7","7.1","21.4",".",".",".",".",".",".",".",".","."
"299
Independent Study","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"309
Diseases of Trees and Shrubs","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","24","3.271","33.3","16.7","29.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"332
Turfgrass Nutrient&Water Mgmt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"350
Plants and Human Wellbeing","001","","67","3.282","35.8","9.0","9.0","25.4","1.5","1.5",".","17.9",".",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","36","3.043","22.2","13.9","27.8","16.7","16.7",".",".","2.8",".",".",".",".",".",".",".","."
"375
Special Topics","001","","19","3.237","47.4","5.3","15.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"376
Tropical Horticultural Systems","001","","26","3.880","80.8","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"571","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"571","002","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875
Special Topics","005","","27","4.000","85.2",".",".",".",".",".",".",".",".",".",".",".","14.8",".",".","."
"957
Seminar-Plant Breeding","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
