"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Agr & Applied Econ","215","001","","93","3.145","16.1","26.9","33.3","17.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Econ & Policy","246","001","","53","3.236","18.9","39.6","20.8","15.1","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Internatl Ag Economy","319","001","","13","3.692","69.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Farming Systems Management","320","001","","66","3.177","31.8","28.8","13.6","9.1","9.1","3.0","3.0",".",".",".",".",".",".",".","1.5","."
"Cooperatives","323","001","","13","3.625","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Environmental Economics","343","001","","24","2.892","25.0","16.7","16.7","20.8","12.5","4.2","4.2",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","","30","3.300","30.0","33.3","23.3","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"Special Topics","375","003","","25","3.591","56.0","16.0","8.0",".","4.0","4.0",".","8.0",".",".",".",".","4.0",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Agricultural Finance","419","001","","49","2.990","24.5","16.3","28.6","14.3","8.2","6.1","2.0",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","","38","3.461","28.9","55.3","2.6","5.3","7.9",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","","27","3.593","40.7","40.7","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Property Rights","540","001","","8","3.714","50.0","25.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".","."
"Applied Microeconomic Thry","635","001","","24","3.435","16.7","50.0","29.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Applied Econometric Anal I","636","001","","46","3.641","60.9","26.1","6.5","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Prof Comm of Applied Econ Anly","721","001","","32","3.891","87.5","6.3","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Development Economics 2","731","001","","10","3.688","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Envir & Resource Econ 2","762","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microecon Resources & Energy","771","001","","16","3.469","25.0","56.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Sem Res/Energy Demand Analysis","773","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Res/Energy Demand I","774","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey & Sample Design","777","001","","21","3.625","47.6","28.6","14.3","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"","881","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","881","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Benefit-Cost Analysis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
