"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","250","2.669","15.2","5.6","38.4","6.0","23.2","8.8","2.4",".","0.4",".",".",".",".",".",".","."
"","101
002","260","2.631","16.2","5.8","31.5","10.0","24.2","9.2","2.7",".",".",".",".",".",".",".",".","0.4"
"Animal Biology","Course Total","510","2.650","15.7","5.7","34.9","8.0","23.7","9.0","2.5",".","0.2",".",".",".",".",".",".","0.2"
"","102
001","11","3.409","45.5","9.1","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","8","3.188",".","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","9","3.222","33.3",".","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
004","9","2.889","11.1","11.1","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
005","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
007","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
009","11","3.318","27.3","36.4","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
010","9","3.278","22.2","33.3","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
011","8","3.375","12.5","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","10","3.400","40.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
013","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","8","3.063","37.5",".","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
015","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
017","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","15","3.200","13.3","33.3","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
019","12","3.542","58.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","187","3.348","34.2","23.5","27.8","6.4","8.0",".",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","23","2.568","13.0",".","39.1","4.3","26.1","13.0",".",".",".",".",".",".",".",".",".","4.3"
"","151
001","256","2.963","17.6","8.6","47.7","5.9","18.4","1.6","0.4",".",".",".",".",".",".",".",".","."
"","151
002","261","2.989","16.1","13.4","44.8","7.3","17.2","0.4","0.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","517","2.976","16.8","11.0","46.2","6.6","17.8","1.0","0.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","326","3.056","22.1","10.7","44.8","7.1","11.0","3.7",".",".",".",".",".",".","0.6",".",".","."
"Evolution Seminar Series UG","522
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
