"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","158","3.847","81.6","10.1","6.3",".","0.6",".","0.6",".",".",".",".",".",".",".","0.6","."
"Intro-Mus Cult of the World","103
001","86","3.185","31.4","26.7","14.0","10.5","3.5","5.8","2.3","4.7",".",".",".",".","1.2",".",".","."
"Opera","105
001","65","3.693","66.2","4.6","10.8",".","4.6","1.5",".","12.3",".",".",".",".",".",".",".","."
"","113
001","660","3.976","98.5",".","0.2","0.2","0.8","0.2",".",".",".",".",".",".",".",".",".","0.3"
"","113
002","694","3.924","92.9","2.3","3.3","0.7","0.4",".","0.3",".",".",".",".",".",".",".",".","."
"","113
003","691","3.882","90.0","3.3","3.6","1.2","0.4","0.7","0.4",".",".",".",".",".",".",".",".","0.3"
"Music in Performance","Course Total","2045","3.927","93.7","1.9","2.4","0.7","0.5","0.3","0.2",".",".",".",".",".",".",".",".","0.2"
"","121
001","25","3.380","32.0","12.0","56.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","28","3.214","21.4","10.7","57.1","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","53","3.292","26.4","11.3","56.6","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001","38","3.776","76.3","13.2","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","151
002","50","3.350","44.0","24.0","22.0","2.0","2.0",".","6.0",".",".",".",".",".",".",".",".","."
"","151
004","23","3.761","78.3","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","111","3.581","62.2","18.0","12.6","0.9","2.7","0.9","2.7",".",".",".",".",".",".",".",".","."
"","171
101","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","53","3.472","32.1","37.7","22.6","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","178","2.972","12.9","11.2","18.5","12.9","14.0",".",".","29.8",".",".",".",".",".",".","0.6","."
"Survey-Hist Western Music","211
001","49","3.245","32.7","12.2","34.7","2.0","14.3",".",".","4.1",".",".",".",".",".",".",".","."
"","221
001","24","3.477","33.3","25.0","29.2","4.2",".",".",".",".",".",".",".",".","8.3",".",".","."
"","221
002","15","3.567","53.3","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","39","3.514","41.0","23.1","25.6","2.6","2.6",".",".",".",".",".",".",".","5.1",".",".","."
"","253
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
098","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
196","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","48","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
