"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","",""
"675
Cell and Regenerative Biology","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","28","3.980","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
IP, Patents, and Licensing","001","","24","3.543","29.2","45.8","20.8",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"802
Bus of Biotech: Fundamentals","001","","24","3.587","20.8","70.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"803
Molecular Technologies I","001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"804
Biotech Reg and Ethics","001","","24","3.130","4.2","41.7","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","4.2"
"830
Early Drug Discovery","001","","23","3.609","34.8","52.2","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Molecular Technologies III","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Bus of Biotech:Challenges&Apps","001","","23","3.609","43.5","39.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
