"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","854
016","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
017","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","142","",".",".",".",".",".",".",".","91.5",".",".",".",".","0.7",".",".","7.7"
"Advanced Criminal Procedure","860
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","19","",".",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","21.1"
"Immigration Law","873
001","24","2.130","16.7",".","45.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","59","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Journal of Law, Gender & Soc.","896
001","33","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","80","",".",".",".",".",".",".",".","98.8",".",".",".",".","1.3",".",".","."
"Constitutional Law Seminar","904
001","19","1.474","5.3",".","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
001","29","1.586","13.8",".","34.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","915
003","20","1.100","5.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","53","1.388","9.4",".","30.2",".",".",".",".","7.5",".",".",".",".",".",".",".","."
"","918
001","16","1.800","18.8",".","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","918
002","9","1.714","11.1","22.2",".",".",".","11.1",".","11.1",".",".",".",".","11.1",".",".","."
"Problems: Intl Law Seminar","Course Total","25","1.773","16.0","8.0","20.0",".",".","4.0",".","8.0",".",".",".",".","4.0",".",".","."
"","928
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","928
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems- Land Law Seminar","Course Total","2","***","","","","","","","","","","","","","","","",""
"Problems of Adm Law-Seminar","932
001","7","1.286",".",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","25","1.160","8.0",".","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","9","2.000","22.2",".","22.2",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","940
003","6","1.500",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","18","0.722",".",".","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","940
005","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
009","10","0.600",".",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
014","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","107","1.144","4.7",".","16.8",".","1.9",".",".","31.8",".",".",".",".",".",".","0.9","."
"European Union Law","942
001","7","1.643","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lawyering Skills Course","950
001","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"","953
001","16","0.933","12.5",".","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","953
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems:Bus Org-Seminar","Course Total","21","0.945","9.5",".","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Corporate Finance Law","954
001","8","0.571","12.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intro to Estate Planning","957
001","8","1.125","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Law & Modernization-Smr","981
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
