"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","17","3.265","52.9","5.9","23.5",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","101
003","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","21","3.333","33.3","42.9","9.5","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","101
005","20","3.658","40.0","50.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","101
006","16","3.531","31.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","16","3.813","75.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","19","3.474","63.2","10.5","15.8",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","142","3.539","48.6","31.7","10.6","3.5","2.8",".","2.1",".",".",".",".",".","0.7",".",".","."
"","102
001","19","3.667","47.4","36.8","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","102
002","19","3.211","10.5","42.1","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","14","3.625","50.0","21.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"","102
004","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","67","3.516","37.3","34.3","13.4","10.4",".",".",".","4.5",".",".",".",".",".",".",".","."
"Frnch 4 Spkrs of Othr Romc Lng","201
001","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","22","3.159","31.8","13.6","27.3","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","203
002","23","3.413","43.5","30.4","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","203
003","15","3.333","20.0","46.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
004","17","3.033","11.8","23.5","23.5","17.6","11.8",".",".","11.8",".",".",".",".",".",".",".","."
"","203
005","24","3.348","45.8","20.8","8.3","12.5","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","101","3.270","32.7","25.7","16.8","12.9","5.9","2.0","1.0","3.0",".",".",".",".",".",".",".","."
"","204
002","21","3.381","33.3","28.6","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","19","2.750","10.5","15.8","31.6","10.5","21.1",".","5.3","5.3",".",".",".",".",".",".",".","."
"","204
004","17","3.235","11.8","29.4","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","15","3.357","13.3","40.0","40.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Fourth Semester French","Course Total","72","3.179","18.1","27.8","34.7","9.7","5.6",".","1.4","1.4",".",".",".",".","1.4",".",".","."
"","228
001","13","3.542","30.8","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","228
002","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","228
003","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","228
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","228
011","11","3.455","63.6","18.2","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","228
012","15","3.567","46.7","33.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","228
013","11","2.636",".","27.3","36.4","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"","228
014","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
015","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","113","3.533","45.1","32.7","14.2","1.8","3.5",".","1.8",".",".",".",".",".",".",".",".","0.9"
"Ethnic St-Fr/Francophone Wrlds","248
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
011","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","271
012","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
013","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
