"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"375
Practicum in Phys Ed","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"390
Princpls-Exercise Leadershp","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","050","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","052","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","51","3.986","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
Org & Admin of Phy Ed","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"417
Adv Clinical Assessment in AT","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475
Seminar-Athletic Training","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Elem Sch Phy Ed Stdt Tchg","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Secondary-Phys Ed Stdt Tchg","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508
Workshop in Kinesiology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521
Physical Activity & Health","001","","25","3.680","44.0","48.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","35","3.386","48.6","11.4","17.1","14.3","8.6",".",".",".",".",".",".",".",".",".",".","."
"527
Prin. Strength & Conditioning","001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Iss, Mtls & Mthds-Hlth Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Advanced Exercise Psychology","001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Lab Tech-Exercise Physiol","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618
Biomechanics","001","","16","3.344","31.3","18.8","43.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"690
Internship in Kinesiology","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","042","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 107 of 438",""
