"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"564","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"564","004","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","23","3.587","39.1","39.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","83","3.042","44.6","4.8","21.7","6.0","13.3","2.4","7.2",".",".",".",".",".",".",".",".","."
"608
Symmtry/Bondng/Molec Shapes","001","","17","3.909","52.9","11.8",".",".",".",".",".",".",".",".",".",".","35.3",".",".","."
"621
Instrumental Analysis","001","","25","3.521","28.0","48.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"624
Electrochemistry","001","","14","3.614","42.9","21.4","21.4",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"625
Separations-Chem Analysis","001","","18","3.697","44.4","27.8","11.1",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","23","3.391","34.8","21.7","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"641
Advanced Organic Chemistry","001","","44","3.432","36.4","18.2","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"661
Chem & Stat Thermodynamics","001","","16","3.344","31.3","18.8","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Intro Quantum Chemistry","001","","22","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"691","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","8","3.944","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
