"EDU","","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"CURRIC
Dept. Total
272","2131","3.939","71.1","4.5","1.4","0.4","0.2","",".","",".","4.6","",".","16.3","0.0","0.6","0.7","0.1","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","41","3.778","73.2","19.5","2.4","4.9",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","42","3.867","78.6","11.9","4.8","2.4",".","",".","",".",".","",".","2.4",".",".",".",".",".","."
"Junior","451","3.933","77.8","4.7","2.0","0.7","0.2","",".","",".",".","",".","14.6",".",".",".",".",".","."
"Senior","837","3.950","75.3","4.2","0.7","0.4","0.4","",".","",".",".","",".","18.9",".",".",".","0.2",".","."
"Undergraduates","1371","3.936","76.1","5.0","1.3","0.7","0.3","",".","",".",".","",".","16.4",".",".",".","0.1",".","."
"Special","56","3.900","66.1","7.1","5.4",".",".","",".","",".",".","",".","12.5",".",".","5.4",".","1.8","."
"Graduate","704","3.951","61.6","3.3","1.1",".",".","",".","",".","13.8","",".","16.3","0.1","1.7","1.7",".","0.1","."
"Dept. Total","2131","3.939","71.1","4.5","1.4","0.4","0.2","",".","",".","4.6","",".","16.3","0.0","0.6","0.7","0.1","0.1","."
