"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"619
Microscopy of Life","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","215","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"813","002","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"813","005","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","007","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"813","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"813","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"813","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"813","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"813","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","44","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
