"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Sr Honors Thesis in Major","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"693
Topic-English: Study Abroad","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","10","3.350","40.0","10.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"695","003","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Creative Writing","Course Total","","62","3.831","80.6","8.1","9.7",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","8","3.714","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","122","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","39","3.924","92.3","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Intro-Composition Studies","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Perspectives on Literacy","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Rsch Meths-Applied Linguistics","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Adv Second Lang Acquisition","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Literary Theory","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"737
Feminist Theory & Criticism","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Late Medieval Religious Lit","001","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"782
Graduate Poetry Workshop","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"785","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"785","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
One-credit Seminar","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 202 of 396",""
