"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","340","3.680","73.5","11.2","9.1","2.9","2.1","",".","",".","0.6","",".",".",".","",".","",".","0.3","0.3","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","68","3.595","67.6","11.8","13.2","2.9","4.4","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","83","3.709","75.9","12.0","7.2","3.6","1.2","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","73","3.758","78.1","9.6","8.2","1.4","1.4","",".","",".","1.4","",".",".",".","",".","",".",".",".","."
"Senior","","116","3.663","74.1","11.2","8.6","3.4","1.7","",".","",".",".","",".",".",".","",".","",".","0.9",".","."
"Undergraduates","","340","3.680","74.1","11.2","9.1","2.9","2.1","",".","",".","0.3","",".",".",".","",".","",".","0.3",".","."
"Special","","2","",".",".",".",".",".","",".","",".","50.0","",".",".",".","",".","",".",".","50.0","."
"","College Total","342","3.680","73.7","11.1","9.1","2.9","2.0","",".","",".","0.6","",".",".",".","",".","",".","0.3","0.3","."
