"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","3755","3.021","21.4","21.6","21.8","14.5","13.3","3.1","1.4","2.6","0.0",".","",".","",".","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","678","3.041","19.5","26.0","20.8","15.2","14.3","2.5","1.5",".",".",".","",".","",".",".","0.3",".","."
"Sophomore","","1054","3.011","21.6","23.0","19.2","15.7","15.6","4.0","1.0",".",".",".","",".","",".",".",".",".","."
"Junior","","832","2.930","18.5","20.4","23.0","15.5","15.5","4.0","2.0","0.8",".",".","",".","",".","0.2",".",".","."
"Senior","","808","2.974","19.2","19.4","25.6","17.1","12.6","3.0","1.6","1.2",".",".","",".","",".","0.1","0.1",".","."
"Undergraduates","","3372","2.988","19.8","22.1","22.0","15.9","14.6","3.4","1.5","0.5",".",".","",".","",".","0.1","0.1",".","."
"Special","","26","3.299","38.5","11.5","23.1","11.5","3.8",".","3.8","3.8",".",".","",".","",".","3.8",".",".","."
"Graduate","","356","3.491","34.8","18.0","20.2","1.4","2.0","0.6","0.3","22.2","0.3",".","",".","",".","0.3",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","3755","3.021","21.4","21.6","21.8","14.5","13.3","3.1","1.4","2.6","0.0",".","",".","",".","0.1","0.1",".","."
