"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","172","3.000","19.8","22.1","22.1","18.6","10.5","2.9","1.7","2.3",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","47","3.391","19.1","38.3","40.4",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Finance","410
001","53","3.290","26.4","18.9","35.8","9.4","3.8",".",".","5.7",".",".",".",".",".",".",".","."
"","415
001","25","3.636","36.0","40.0","12.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"","415
002","50","3.570","22.0","70.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","75","3.590","26.7","60.0","9.3",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"International Real Estate","430
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","55","3.882","76.4","23.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","25","3.882","56.0","8.0","4.0",".",".",".",".","24.0",".",".",".",".",".",".","4.0","4.0"
"The Real Estate Process","706
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","19","3.500","52.6","10.5","15.8","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"International Real Estate","730
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Land Use Controls on Bus","745
001","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Real Est Finance Theory","870
001","12","3.864","75.0","8.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
116","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","3","***","","","","","","","","","","","","","","","",""
"REAL EST
239","Dept. Total","514","3.401","36.0","27.8","18.1","7.6","4.1","1.0","0.6","4.5",".",".",".",".",".",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"Junior","","117","3.154","18.8","34.2","23.9","17.1","1.7","2.6","1.7",".",".",".",".",".",".",".",".","."
"Senior","","289","3.395","33.6","29.8","18.3","5.2","6.2","0.7","0.3","5.5",".",".",".",".",".",".","0.3","."
"Undergraduates","","406","3.323","29.3","31.0","20.0","8.6","4.9","1.2","0.7","3.9",".",".",".",".",".",".","0.2","."
"Special","","8","3.071","12.5","12.5","37.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"Graduate","","98","3.754","64.3","16.3","9.2","2.0","1.0",".",".","6.1",".",".",".",".",".",".",".","1.0"
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","514","3.401","36.0","27.8","18.1","7.6","4.1","1.0","0.6","4.5",".",".",".",".",".",".","0.2","0.2"
