"L&S","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","598","3.785","66.2","23.2","5.2","1.2","0.3","",".","0.3","2.2","",".",".","",".","0.2","0.5","0.7",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","54","3.594","51.9","24.1","14.8","3.7","3.7","",".",".",".","",".",".","",".",".",".","1.9",".","."
"Junior","41","3.525","43.9","36.6","7.3","7.3",".","",".","2.4",".","",".",".","",".",".",".","2.4",".","."
"Senior","28","3.560","46.4","28.6","10.7",".",".","",".","3.6","10.7","",".",".","",".",".",".",".",".","."
"Undergraduates","123","3.564","48.0","29.3","11.4","4.1","1.6","",".","1.6","2.4","",".",".","",".",".",".","1.6",".","."
"Special","37","3.758","59.5","18.9","8.1","2.7",".","",".",".","5.4","",".",".","",".",".","2.7","2.7",".","."
"Graduate","438","3.849","71.9","21.9","3.2","0.2",".","",".",".","1.8","",".",".","",".","0.2","0.5","0.2",".","."
"Dept. Total","598","3.785","66.2","23.2","5.2","1.2","0.3","",".","0.3","2.2","",".",".","",".","0.2","0.5","0.7",".","."
