"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Strategy-Inclusive Schoolng","506
001","87","3.966","96.6","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Computn-Schools I","514
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
001","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","537
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Diverse Learners","Course Total","61","3.984","98.4",".","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","541
001","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","541
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Adm-School Hlth Progms","Course Total","35","3.914","82.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teacher Ed-Alcohol & Drugs","542
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prob-Tchg Foreign Lang","564
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Spec Ed in the Arts","566
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn&Prod Elec Instr Matrls","603
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Seminar on Literacy","604
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instrctnl Comptn-Schools II","614
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620
001","8","3.625","75.0",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Action Research in Schools","626
001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","660
001","21","3.476","61.9","9.5","19.0",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","002
660","26","3.808","92.3",".","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Early Childhood Education","Course Total","47","3.660","78.7","4.3","10.6",".","2.1",".","4.3",".",".",".",".",".",".",".",".","."
"Elem School Curriculum","662
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in ESL Education","672
001","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","001
675","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
007","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
008","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
011","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","142","3.981","99.3",".","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
052","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","12","3.958","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
068","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
