"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","20","3.175","10.0","45.0","15.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","199","3.347","27.1","25.1","24.1","7.0","4.5","0.5",".","11.6",".",".",".",".",".",".",".","."
"","199","007","39","3.769","51.3","46.2",".",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"","199","020","11","3.760","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","50","3.767","54.0","42.0","2.0",".",".",".",".",".",".",".",".",".",".",".","2.0","."
"Intro-AfricanAmer Dramatic Lit","225","001","24","3.500","54.2","25.0","8.3",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","14","2.691","14.3","7.1","28.6","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"Intro Lit:18c-Harlm Renaiss","267","001","87","3.000","16.1","27.6","24.1","16.1","11.5","3.4","1.1",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","95","3.452","48.4","21.1","15.8","5.3","6.3","1.1","1.1",".",".",".",".",".",".",".","1.1","."
"Africa: Introductory Survey","277","001","32","2.710","9.4","12.5","34.4","6.3","28.1","6.3",".","3.1",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","30","3.276","50.0","6.7","13.3","6.7","16.7","3.3",".","3.3",".",".",".",".",".",".",".","."
"Intro:History-Caribbean Soc","347","001","23","3.457","39.1","26.1","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366","001","50","3.510","32.0","46.0","16.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Women's Intl Human Rights","424","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Discrimntn&Prejudice-Am Soc","442","001","58","3.500","43.1","15.5","22.4","5.2","3.4",".",".","8.6",".",".",".",".","1.7",".",".","."
"Slavery in the Amer South","467","001","21","3.571","33.3","47.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","12","2.905","16.7",".","58.3","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","8","3.500","12.5","50.0","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","8","3.429","12.5","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"The Harlem Renaissance","602","001","22","3.548","45.5","27.3","13.6","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Prison Narratv-Africn Diaspora","612","001","12","3.150","41.7","8.3","8.3","16.7",".",".","8.3","8.3",".",".",".",".",".",".","8.3","."
"Historiography-Afro-Am Stdy","632","001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","15","3.033","13.3","20.0","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","27","3.333","33.3","14.8","37.0","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","26","3.808","80.8","15.4",".",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","21","3.193","33.3","28.6","23.8","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","27","3.181","33.3","22.2","22.2","11.1","3.7",".","3.7",".",".",".",".",".",".",".","3.7","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","19","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
