"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4516","3.069","33.0","15.6","18.7","10.8","14.5","3.7","1.0","2.3","0.0",".","",".","",".","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","690","2.717","16.7","17.1","15.7","15.7","25.4","7.7","1.7",".",".",".","",".","",".",".","0.1",".","."
"Sophomore","","977","3.014","26.3","17.3","19.9","14.9","16.3","3.9","0.8","0.2","0.1",".","",".","",".",".","0.1","0.2","."
"Junior","","1179","3.033","30.5","15.5","23.4","9.8","14.2","3.8","1.5","0.8","0.1",".","",".","",".",".","0.3",".","."
"Senior","","1358","3.249","42.0","15.4","18.9","8.0","10.7","2.3","0.7","1.9",".",".","",".","",".","0.1","0.1",".","."
"Undergraduates","","4204","3.046","31.0","16.2","19.8","11.4","15.4","4.0","1.1","0.9","0.0",".","",".","",".","0.0","0.1","0.0","."
"Special","","52","3.230","44.2","9.6","11.5","15.4","7.7","1.9",".","5.8",".",".","",".","",".","1.9",".","1.9","."
"Graduate","","258","3.826","64.3","6.6","2.3","0.8","1.2",".",".","24.4",".",".","",".","",".","0.4",".",".","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","2","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","4516","3.069","33.0","15.6","18.7","10.8","14.5","3.7","1.0","2.3","0.0",".","",".","",".","0.1","0.1","0.1","."
