"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Drama in Education","Course Total","","58","3.914","89.7","5.2","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","364
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
002","","25","3.580","60.0","8.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","364
003","","25","3.580","56.0","28.0","12.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Introduction to Education","Course Total","","75","3.720","72.0","12.0","10.7","4.0",".",".","1.3",".",".",".",".",".",".",".",".","."
"","367
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","73","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
368","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","","25","3.880","92.0",".",".","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","73","3.925","93.2","1.4","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
369","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
003","","25","3.880","92.0",".",".","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","73","3.945","94.5","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
370","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
370","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","91","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","76","3.947","92.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
372","","27","3.870","85.2","3.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","24","3.500","62.5","4.2","16.7","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","25","3.480","60.0","16.0","12.0",".","8.0",".","4.0",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","76","3.625","69.7","7.9","13.2","1.3","6.6",".","1.3",".",".",".",".",".",".",".",".","."
"","373
001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","9","3.444","55.6",".","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 86 of 396"
