"COMPARATIVE LITERATURE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","",""
"Intro to Mod & Contemp Lit","202","001","96","3.427","29.2","54.2","10.4","2.1",".",".","4.2",".",".",".",".",".",".",".",".","."
"Intro Cross-Cultrl Lit Form","203","001","165","3.478","37.0","41.2","12.7","3.0","0.6","2.4","1.2",".","0.6",".",".",".",".","1.2",".","."
"Masterpcs of Lit-Honors I","287","001","16","3.900","81.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Masterpcs of Lit-Honors II","288","001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Criticism","310","001","22","3.652","31.8","50.0","4.5",".",".",".",".","4.5",".",".",".",".",".","9.1",".","."
"Literary Movements & Trends","372","001","24","3.571","54.2","25.0","8.3","4.2",".",".","4.2",".",".",".",".",".","4.2",".",".","."
"Thematics","473","001","21","3.522","57.1","19.0","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Poetics and Literary Theory","475","001","16","3.755","62.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","690","001","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Literary Criticism","771","001","12","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Literary Backgrounds","778","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Poetics & Literary Thry","975","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
