"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"","100","001","261","3.193","31.8","22.2","19.2","13.4","10.0","3.4",".",".",".",".",".",".",".",".",".","."
"","100","002","315","2.924","18.7","20.0","21.0","15.9","19.0","2.2","1.6","1.3",".",".",".",".",".",".","0.3","."
"Weather and Climate","","Course Total","576","3.047","24.7","21.0","20.1","14.8","14.9","2.8","0.9","0.7",".",".",".",".",".",".","0.2","."
"Weather and Climate","101","001","129","3.415","44.2","24.0","17.1","7.8","4.7","0.8","1.6",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","29","2.828","10.3","20.7","34.5","10.3","13.8","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","26","3.346","50.0","11.5","15.4","3.8","19.2",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","60","3.237","31.7","25.0","23.3","8.3","6.7",".","3.3","1.7",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","23","2.886","17.4","8.7","34.8","13.0","17.4","4.3",".","4.3",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","24","2.979","25.0","16.7","25.0","4.2","25.0","4.2",".",".",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Satellite Meteorology","445","001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tropical Meteorology","522","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cloud Physics","637","001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","17","3.219","17.6","23.5","41.2","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"Analysis of Atmospheric Sys","650","001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.909","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Large-Scale Ocn-Atm Couplng","760","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","907","001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Atmospheric Chemistry","932","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Oceanography","960","001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","016","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
