"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Terr Vertbrt:Life Hist&Ecol","001","","59","2.839","25.4","6.8","22.0","15.3","23.7","6.8",".",".",".",".",".",".",".",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","28","2.732","3.6","14.3","46.4","3.6","28.6","3.6",".",".",".",".",".",".",".",".",".","."
"375","001","","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","25","3.460","24.0","48.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","40","3.528","47.5","32.5","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","64","3.273","29.7","21.9","28.1","14.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","14","3.536","64.3","7.1","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","40","2.713","10.0","25.0","20.0","17.5","15.0","10.0","2.5",".",".",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
