"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"231
Survey-Nuclear Engineering","001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","34","3.561","52.9","23.5","11.8","2.9","2.9","2.9",".",".",".",".",".",".","2.9",".",".","."
"406
Nuclear Reactor Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","35","3.029","20.0","14.3","37.1","8.6","20.0",".",".",".",".",".",".",".",".",".",".","."
"412
Nuclear Reactor Design","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"428
Nuclear Reactor Laboratory","001","","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"489","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"520
2-Phase Flow & Heat Transfr","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"533
Resources From Space","001","","33","3.293","24.2","18.2","33.3","9.1","3.0",".",".",".",".",".",".",".",".",".","12.1","."
"548
Engineering Analysis II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Charged Particl Acceleratrs","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"566
Cryogenics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","24","3.396","54.2",".","29.2","4.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","3.844","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","22","",".",".",".",".",".",".",".","68.2","4.5",".",".","27.3",".",".",".","."
