"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","24","3.543","45.8","37.5","4.2",".","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","101
003","17","3.433","47.1","11.8","11.8","5.9","11.8",".",".","5.9",".",".",".",".",".","5.9",".","."
"","101
004","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","19","3.237","26.3","31.6","31.6","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","101
006","20","3.100","30.0","30.0","15.0","10.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","007
101","14","3.643","42.9","50.0",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","19","3.333","42.1","10.5","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".","5.3","."
"","101
009","12","3.636","41.7","33.3","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"First Semester French","Course Total","141","3.415","39.0","29.8","15.6","5.0","4.3","1.4","1.4","2.1",".",".",".",".",".","0.7","0.7","."
"","102
001","15","3.233","26.7","40.0",".","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","002
102","18","3.500","22.2","44.4","11.1","5.6",".",".",".","16.7",".",".",".",".",".",".",".","."
"","102
003","23","3.478","39.1","39.1","8.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
005","25","3.348","28.0","28.0","20.0","12.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"","102
007","20","3.028","25.0","20.0","25.0","5.0","5.0","5.0","5.0","10.0",".",".",".",".",".",".",".","."
"","102
008","17","3.400","29.4","29.4","17.6","5.9","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","118","3.335","28.8","33.1","14.4","8.5","5.9","0.8","0.8","7.6",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","14","3.577","50.0","14.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","203
001","20","3.105","20.0","30.0","20.0","20.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"","203
002","23","3.225","13.0","34.8","26.1","4.3","8.7",".",".","13.0",".",".",".",".",".",".",".","."
"","004
203","23","2.977","4.3","39.1","17.4","17.4","17.4",".",".","4.3",".",".",".",".",".",".",".","."
"","203
005","22","2.977","22.7","13.6","31.8","18.2","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","203
007","17","2.794","23.5","23.5","5.9","29.4","5.9",".","11.8",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","105","3.020","16.2","28.6","21.0","17.1","8.6",".","3.8","4.8",".",".",".",".",".",".",".","."
"","204
001","20","2.650","10.0","25.0","35.0","5.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","204
002","20","2.875","5.0","20.0","40.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","004
204","22","3.227","27.3","36.4","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","006
204","24","3.205","25.0","37.5","12.5",".","8.3","8.3",".","8.3",".",".",".",".",".",".",".","."
"","204
008","9","3.429","11.1","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".",".","11.1","."
"Fourth Semester French","Course Total","95","3.033","16.8","31.6","25.3","8.4","4.2","7.4","2.1","3.2",".",".",".",".",".",".","1.1","."
"","227
001","16","3.375","31.3","37.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","227
003","21","3.263","19.0","38.1","28.6",".",".",".","4.8","9.5",".",".",".",".",".",".",".","."
"","227
005","20","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","57","3.382","22.8","45.6","21.1","3.5","1.8",".","1.8","3.5",".",".",".",".",".",".",".","."
"","228
001","12","3.659","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
228","16","3.300","18.8","37.5","25.0",".",".","6.3",".","12.5",".",".",".",".",".",".",".","."
"","228
003","17","3.629","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","45","3.535","37.8","31.1","24.4",".",".","2.2",".","4.4",".",".",".",".",".",".",".","."
"","001
271","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
271","19","3.368","26.3","52.6","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","271
004","14","3.885","71.4","21.4",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","46","3.644","52.2","34.8","8.7",".",".",".","2.2","2.2",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","13","3.375","23.1","30.8","30.8","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","14","3.739","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
