"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","698
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","009
699","","26","3.961","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","699
025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
224","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","66","3.958","92.4","3.0","3.0",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Empiricl Meth-Polit Inquiry","817
001","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Methods-Public Policy","819
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Presidency:Iss&Appr","828
001","","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Political Communication","829
001","","13","3.875","69.2","23.1",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","831
001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","831
002","","13","3.889","53.8","15.4",".",".",".",".",".",".",".",".",".",".","30.8",".",".","."
"Concepts-Political Theory","Course Total","","19","3.786","47.4","21.1","5.3",".",".",".",".",".",".",".",".",".","26.3",".",".","."
"Smr-Internatnl Bus & Gov","841
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nation,State&Cultrl Plurlsm","854
001","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Smr-Comparative Politics","856
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Management","878
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Political Development","881
001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","900
001","","14","3.615","35.7","42.9","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","002
900","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","Course Total","","21","3.630","38.1","47.6","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Seminar-American Politics","904
001","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Sem-Adv Methodology","919
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Natl Security Affairs","945
001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Smr:Topics in Comp Politics","948
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","960
001","","16","3.719","56.3","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","960
002","","14","3.577","28.6","50.0","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Smr-International Relations","Course Total","","30","3.655","43.3","43.3","6.7","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
"Seminar: Law and Politics","963
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intdept Smr-African Studies","983
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 277 of 396",""
