"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"","104
001","","10","2.500","20.0",".","20.0","20.0","30.0",".","10.0",".",".",".",".",".",".",".",".","."
"","104
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Greek","Course Total","","14","2.536","21.4",".","14.3","21.4","35.7",".","7.1",".",".",".",".",".",".",".",".","."
"","304
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Greek","Course Total","","10","3.314","20.0","50.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Greek","306
001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Prose Composition","505
001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Homer","510
001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Individual Research Thesis","890
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"GREEK
428","Dept. Total","","55","3.291","40.0","27.3","7.3","7.3","10.9",".","1.8","3.6",".",".",".",".",".",".","1.8","."
