"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.333",".","50.0","50.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","3","3.429","33.3",".","66.7",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","17","3.600","64.7","5.9","17.6","5.9","5.9","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","22","3.543","54.5","9.1","27.3","4.5","4.5","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","11","3.389","18.2",".","18.2","9.1",".","",".","",".","45.5","",".",".","",".",".","",".","9.1",".","."
"Graduate","","83","3.690","15.7","2.4","2.4",".","1.2","",".","",".","67.5","",".",".","",".","10.8","",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","2","3.750","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
