"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Astronomy","001","","126","3.040","23.0","11.9","33.3","16.7","13.5","1.6",".",".",".",".",".",".",".",".",".","."
"104","001","","136","2.981","21.3","13.2","40.4","6.6","10.3","3.7","2.9",".","0.7",".",".",".",".",".","0.7","."
"104","002","","145","3.330","49.0","10.3","21.4","5.5","9.7","1.4","2.1","0.7",".",".",".",".",".",".",".","."
"Exploration of Solar System","Course Total","","281","3.162","35.6","11.7","30.6","6.0","10.0","2.5","2.5","0.4","0.4",".",".",".",".",".","0.4","."
"113","001","","20","2.950","15.0","25.0","35.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"113","002","","18","2.972","27.8","5.6","27.8","11.1","27.8",".",".",".",".",".",".",".",".",".",".","."
"113","003","","11","3.500","54.5",".","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","49","3.082","28.6","12.2","32.7","8.2","14.3","4.1",".",".",".",".",".",".",".",".",".","."
"114","001","","16","3.156","25.0","6.3","56.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"114","002","","20","2.975","15.0","5.0","65.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"114","003","","19","2.972","15.8","5.3","52.6",".","21.1",".",".",".",".",".",".",".",".","5.3",".","."
"Hands on the Solar System","Course Total","","55","3.028","18.2","5.5","58.2",".","14.5","1.8",".",".",".",".",".",".",".","1.8",".","."
"200
The Physical Universe","001","","12","3.000","33.3","8.3","33.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"340
Solar System Astrophysics","001","","20","2.575","15.0","25.0","10.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"533
Resources From Space","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Astrodynamics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620
Smr-Astrophysical Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"710
Stellar Atmospheres","001","","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Intrstelr Med I-Basic Procs","001","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
