"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.500",".",".",".","100.0",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","2","3.250",".","50.0","50.0",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","23","3.180","21.7","17.4","52.2","4.3","4.3","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","48","3.256","35.4","27.1","16.7","8.3","8.3","",".","2.1",".","",".",".","",".",".","2.1",".",".","."
"Undergraduates","","74","3.220","29.7","24.3","28.4","8.1","6.8","",".","1.4",".","",".",".","",".",".","1.4",".",".","."
"Special","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","70","3.667","17.1","2.9","7.1",".",".","",".",".","40.0","",".","28.6","",".","4.3",".",".",".","."
"","Dept. Total","146","3.309","24.7","13.7","17.8","4.1","3.4","",".","0.7","19.2","",".","13.7","",".","2.1","0.7",".",".","."
