"","990
057","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
058","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
059","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"OBS&GYN
436","Dept. Total","109","3.693","52.3","37.6","7.3","0.9","",".","",".","",".","1.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","3.900","75.0","25.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","13","4.000","84.6",".",".",".","",".","",".","",".","15.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","17","3.976","82.4","5.9",".",".","",".","",".","",".","11.8","",".",".","",".","",".","",".",".",".","."
"Graduate","","14","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","2","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","73","3.631","38.4","52.1","8.2","1.4","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","3.700","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","78","3.614","37.2","51.3","10.3","1.3","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","109","3.693","52.3","37.6","7.3","0.9","",".","",".","",".","1.8","",".",".","",".","",".","",".",".",".","."
