"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Intro-Drug Actn&Delivery II","001","","142","2.599","0.7","10.6","31.7","30.3","22.5","4.2",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491
Selected Topics-Pharm Sci","001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"522
Pharmacology II","001","","146","2.801","6.8","16.4","37.0","17.8","17.8","4.1",".",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","130","3.065","21.5","10.8","43.8","8.5","14.6","0.8",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","130","3.531","50.8","16.2","23.8","4.6","3.8",".",".",".",".",".",".",".","0.8",".",".","."
"624
Pharmacology IV","001","","128","2.879","12.5","18.0","28.1","17.2","23.4","0.8",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","59","3.186","23.7","13.6","45.8","10.2","6.8",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicol Sr Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","3.854","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Selected Topics in Med Chem","001","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Conference-Research Workers","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","42","",".",".",".",".",".",".",".","88.1",".",".",".","11.9",".",".",".","."
