"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","50","3.542","50.0","22.0","14.0","2.0","8.0",".",".","2.0",".",".",".",".",".",".","2.0","."
"Second Semester Japanese","104","001","","82","3.091","24.4","24.4","25.6","6.1","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","7","3.143","28.6","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","121","001","","24","3.795","58.3","29.2","4.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Elementary Japanese","123","001","","22","3.421","31.8","22.7","22.7","4.5","4.5",".",".","13.6",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","37","3.076","29.7","18.9","13.5","10.8","5.4","10.8",".","10.8",".",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","002","","69","3.142","17.4","31.9","26.1","13.0","5.8","1.4","1.4","2.9",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","13","3.458","30.8","30.8","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Japanese","304","001","","17","2.813","23.5","17.6","5.9","17.6","17.6","11.8",".",".",".",".",".",".",".",".","5.9","."
"Second Semester Chinese","312","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Chinese","318","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","322","001","","18","3.500","38.9","33.3","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","326","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-China 1400 BC-589 AD","336","001","","6","3.591","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","342","001","","39","3.603","38.5","43.6","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","14","3.250","42.9","14.3","14.3","21.4",".","7.1",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Painting","356","001","","7","2.900","28.6",".",".","14.3","28.6",".",".","28.6",".",".",".",".",".",".",".","."
"Topics-Japanese: Study Abroad","373","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bus Japanese Communication","377","001","","15","3.682","46.7","13.3","6.7","6.7",".",".",".","20.0",".",".",".",".",".",".","6.7","."
"Eighth Semester Japanese","404","001","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pop Culture & Film-20 C China","520","001","","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhism and Literature","576","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Chinese Language","632","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature","652","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","3.947","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading for Research","799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Chinese Literature","951","001","","9","3.786","44.4","33.3",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Seminar in Chinese Thought","971","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 192 of 396",""
