"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
001","189","2.995","18.0","17.5","36.0","14.3","10.1","1.1","2.6","0.5",".",".",".",".",".",".",".","."
"","350
002","54","3.009","18.5","13.0","38.9","14.8","13.0","1.9",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","243","2.998","18.1","16.5","36.6","14.4","10.7","1.2","2.1","0.4",".",".",".",".",".",".",".","."
"","001
365","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
073","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Logistics Analysis","640
001","16","3.800","62.5","25.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Logistics Strategies","646
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","730
001","29","3.241","24.1","31.0","24.1","10.3","10.3",".",".",".",".",".",".",".",".",".",".","."
"","730
002","24","3.413","25.0","37.5","29.2",".","4.2",".",".",".",".",".",".",".",".","4.2",".","."
"Managerial Economics","Course Total","53","3.317","24.5","34.0","26.4","5.7","7.5",".",".",".",".",".",".",".",".","1.9",".","."
"Logistics Strategy","746
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
001","33","3.758","72.7","9.1","15.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","750
002","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
030","33","3.545","51.5","21.2","15.2","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","90","3.711","65.6","17.8","11.1","4.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","29","3.707","48.3","44.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
058","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
073","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
143","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategc Managemt&Qual Plan","861
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Operations Management","001
875","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
