"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist-Civil War-Present","102","001","279","3.355","27.6","33.0","25.4","8.2","3.9",".","0.4","1.4",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104","001","71","3.184","23.9","25.4","25.4","12.7","5.6","1.4","1.4","2.8",".",".",".",".","1.4",".",".","."
"Medieval Europe 410-1500","115","001","67","3.345","11.9","49.3","25.4","7.5","1.5",".",".","4.5",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","48","2.934","4.2","16.7","45.8","16.7","10.4",".",".","6.3",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","001","128","3.320","23.4","39.8","18.0","11.7","3.1","1.6",".","2.3",".",".",".",".",".",".",".","."
"Middle East-20th Century","139","001","47","3.526","53.2","19.1","10.6","6.4","6.4","2.1",".",".",".",".",".",".",".",".","2.1","."
"Amer Histories: 19th Century","150","001","126","3.044","29.4","18.3","25.4","11.1","6.3","4.0","4.8","0.8",".",".",".",".",".",".",".","."
"Directed Study","199","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","200","001","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","003","30","3.138","13.3","33.3","36.7","6.7",".","6.7",".","3.3",".",".",".",".",".",".",".","."
"","200","004","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","006","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","88","3.466","33.0","37.5","23.9","2.3",".","2.3",".","1.1",".",".",".",".",".",".",".","."
"Westrn Relig&Intellect Hist","208","001","34","3.106",".","26.5","64.7","5.9",".",".",".",".",".",".",".",".",".","2.9",".","."
"Explorations in Amer Hist (H)","221","001","20","2.395","20.0","15.0",".","30.0","5.0","10.0","15.0","5.0",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","001","29","3.292","27.6","34.5","13.8",".",".",".","6.9","17.2",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","9","2.857",".","44.4","22.2",".",".",".","11.1",".",".",".",".",".",".",".","22.2","."
"Col,Natn&Minrty:PuertoRican","243","001","82","3.000","9.8","25.6","36.6","13.4","6.1","1.2","2.4","4.9",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","33","3.625","42.4","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"Eastern Europe:Interdis Survey","254","001","31","3.224","16.1","29.0","32.3","12.9","3.2",".",".","6.5",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","75","3.158","10.7","34.7","41.3","6.7","1.3","2.7","1.3","1.3",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","89","3.441","31.5","42.7","16.9","1.1",".",".","3.4","3.4",".",".",".",".",".",".","1.1","."
"Africa: Introductory Survey","277","001","37","2.800","8.1","10.8","37.8","10.8","27.0",".",".","5.4",".",".",".",".",".",".",".","."
"Honors Smr-Studies in Hist","283","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A History of Rome","307","001","86","3.649","36.0","50.0","8.1",".",".",".",".","5.8",".",".",".",".",".",".",".","."
"Intro-Byzantine History&Civ","313","001","23","3.212","21.7","21.7","34.8","8.7","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"Latin Paleography","316","001","11","3.781","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Social&Intel Hist 1200-1450","318","001","55","3.518","40.0","23.6","20.0","3.6","3.6",".",".","9.1",".",".",".",".",".",".",".","."
"Hist-China 1400 BC-589 AD","336","001","55","3.280","40.0","30.9","9.1","5.5","1.8","3.6","5.5","3.6",".",".",".",".",".",".",".","."
"Rev&Fascism Spain,Ital,Port","340","001","43","2.984","14.0","14.0","41.9","11.6","2.3",".","4.7","4.7",".",".",".",".",".",".","7.0","."
"Peoples Replc China 1949 on","342","001","72","3.253","23.6","33.3","25.0","9.7","4.2","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","148","3.199","21.6","29.7","25.0","12.8","5.4","2.0","0.7","0.7",".",".",".",".","0.7","1.4",".","."
"Intro:History-Caribbean Soc","347","001","27","3.365","29.6","25.9","25.9","14.8",".",".",".",".","3.7",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","11","3.857","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Second World War","357","001","143","3.002","10.5","26.6","25.2","11.9","11.2","1.4","1.4","11.9",".",".",".",".",".",".",".","."
"History-Europe Since 1945","359","001","135","3.072","14.1","35.6","28.1","5.2","10.4","1.5","3.0","1.5",".",".",".",".",".",".","0.7","."
"Soc-Shakespeares England","367","001","58","3.038","17.2","20.7","25.9","13.8","8.6","1.7","1.7","10.3",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Africa to 1500","376","001","46","3.191","10.9","47.8","23.9","10.9","2.2","4.3",".",".",".",".",".",".",".",".",".","."
"Hist of Africa, 1500-1870","377","001","67","3.156","19.4","32.8","26.9","11.9","3.0","1.5","3.0","1.5",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 220 of 396",""
