"","991
009","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
012","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","991
017","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","13","",".",".",".",".",".",".","",".","76.9",".",".",".","23.1",".",".",".","."
"SLAVIC
888","Dept. Total","283","3.651","60.8","17.0","9.5","1.8","3.5","0.4","",".","4.2",".",".",".","1.8","0.7",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.608","66.7","16.7",".","10.0","6.7",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","54","3.654","63.0","16.7","18.5",".","1.9",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","63","3.466","50.8","23.8","12.7","3.2","7.9","1.6","",".",".",".",".",".",".",".",".",".","."
"Senior","","62","3.682","59.7","22.6","12.9",".","3.2",".","",".","1.6",".",".",".",".",".",".",".","."
"Undergraduates","","209","3.598","58.9","20.6","12.4","2.4","4.8","0.5","",".","0.5",".",".",".",".",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".",".","",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","69","3.950","68.1","5.8",".",".",".",".","",".","14.5",".",".",".","7.2","2.9",".","1.4","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","2","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","3","3.450","33.3","33.3","33.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","283","3.651","60.8","17.0","9.5","1.8","3.5","0.4","",".","4.2",".",".",".","1.8","0.7",".","0.4","."
