"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Islam in Iran","379","001","26","3.462","38.5","30.8","26.9",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"United States 1914-1945","397","001","80","3.632","43.8","36.3","11.3","2.5","1.3",".",".","1.3",".",".",".",".",".",".","3.8","."
"The US Since 1945","398","001","81","3.280","17.3","28.4","23.5","6.2","2.5",".","1.2","19.8",".",".",".",".",".","1.2",".","."
"Amer Urban Hist Since 1870","402","001","138","3.251","15.2","29.0","43.5","4.3","2.2","0.7",".","4.3",".",".",".",".","0.7",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","67","3.405","29.9","29.9","13.4","10.4","4.5",".",".","7.5",".",".",".",".","1.5",".","3.0","."
"Hist-Germany, 1871-Present","410","001","84","2.835","9.5","17.9","29.8","26.2","8.3","4.8","1.2",".",".",".",".",".",".","2.4",".","."
"History-American Education","412","001","93","2.846","9.7","19.4","25.8","28.0","9.7","5.4",".","2.2",".",".",".",".",".",".",".","."
"E Europe Jews in US,1880-1930s","416","001","44","3.717","68.2","6.8","11.4",".","2.3","2.3",".","9.1",".",".",".",".",".",".",".","."
"History of Soviet Russia","419","001","80","3.018","17.5","27.5","26.3","16.3","3.8","5.0","2.5",".",".",".",".",".",".",".","1.3","."
"Russian Social&Intel Hist","420","001","49","3.316","12.2","30.6","32.7","6.1",".",".",".","10.2",".",".",".",".","4.1",".","4.1","."
"History-Scand Since 1815","432","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","30","3.333","33.3","20.0","23.3","6.7","3.3","3.3",".","10.0",".",".",".",".",".",".",".","."
"Hist of Equatorial Africa","445","001","10","3.609","40.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"History of Medieval India","448","001","58","3.107","13.8","29.3","29.3","13.8","6.9",".","1.7","3.4",".",".",".",".",".","1.7",".","."
"American West Since 1850","462","001","54","3.514","29.6","48.1","16.7","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","15","3.333","20.0","40.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","12","3.207","33.3","16.7","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".","."
"Paideia:Ed in Westrn Cultur","479","001","21","3.924","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Smr-Studies in Hist","481","001","10","3.450","70.0","10.0",".",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"American Indian History","490","001","35","3.265","14.3","48.6","11.4","5.7","2.9",".","2.9","14.3",".",".",".",".",".",".",".","."
"","500","001","12","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500","002","33","3.219","24.2","27.3","18.2","21.2","6.1",".",".","3.0",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","45","3.250","26.7","20.0","31.1","15.6","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Eur Cultural Hist 1610-1815","512","001","38","3.348","34.2","23.7","23.7",".",".",".","5.3","7.9",".",".",".",".",".","5.3",".","."
"Religion-Ancient Mediterranean","517","001","18","2.611","16.7","16.7","27.8","5.6","11.1","16.7","5.6",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","35","3.045","14.3","28.6","25.7","14.3","8.6",".","2.9","5.7",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","14","3.462","28.6","35.7","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","600","005","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","008","15","3.633","53.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600","009","16","3.063","6.3","31.3","43.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","600","010","16","2.938","25.0","18.8","18.8","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","600","011","14","3.036","21.4","28.6","21.4","21.4",".",".","7.1",".",".",".",".",".",".",".",".","."
"","600","012","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","015","14","3.250","21.4","21.4","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","016","14","2.571","28.6","28.6","14.3",".",".",".","28.6",".",".",".",".",".",".",".",".","."
"","600","017","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 221 of 396",""
