"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Topics in Global Security","601
001","","15","3.714","53.3","26.7","13.3",".","",".",".",".","","6.7",".","",".",".","",".","",".","",".",".","."
"","603
001","","13","3.333","23.1","46.2","15.4",".","",".","7.7",".","","7.7",".","",".",".","",".","",".","",".",".","."
"","002
603","","13","3.583","69.2",".","15.4",".","",".","7.7",".","","7.7",".","",".",".","",".","",".","",".",".","."
"Topics:Culture-Age of Globlztn","Course Total","","26","3.458","46.2","23.1","15.4",".","",".","7.7","",".","7.7","",".",".","",".","",".","",".",".",".","."
"Business in Emerging Markets","615
001","","8","3.625","50.0","25.0","25.0",".","",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","","49","3.563","49.0","24.5","16.3",".","",".","4.1","",".","6.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","3.125","50.0","25.0",".",".","",".","25.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","41","3.576","46.3","24.4","19.5",".","",".","2.4","",".","7.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","45","3.531","46.7","24.4","17.8",".","",".","4.4","",".","6.7","",".",".","",".","",".","",".",".",".","."
"Graduate","","","4","3.875","75.0","25.0",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","49","3.563","49.0","24.5","16.3",".","",".","4.1","",".","6.1","",".",".","",".","",".","",".",".",".","."
