"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","12","3.333","50.0","16.7","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
002","","17","3.529","64.7","17.6","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","100
003","","18","3.588","61.1","22.2","5.6",".",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"","100
004","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","10","3.550","60.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","85","3.583","58.8","22.4","10.6","3.5",".",".","3.5",".",".",".",".",".","1.2",".",".","."
"Sci&Technology Newswriting","001
111","","16","3.563","56.3","25.0","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Found Agri-sci&Nat Resrc Educ","200
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","21","3.690","85.7","4.8",".",".",".","9.5",".",".",".",".",".",".",".",".",".","."
"","212
002","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","","17","3.176","11.8","29.4","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","49","3.531","57.1","14.3","20.4","2.0","2.0","4.1",".",".",".",".",".",".",".",".",".","."
"Informational Photography","260
001","","15","3.533","46.7","40.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","299
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","360
001","","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","17","3.843","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","3.831","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Methods:Agri-sci Educ","377
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","16","3.563","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","","17","3.676","70.6","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","23","3.391","52.2","26.1","8.7",".","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
