"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"325
001
Comptrs-Elem&Secndry Art Ed","","17","3.941","94.1",".","5.9",".","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","."
"423
001
Stdt Tchg-Elem School Art","","14","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","."
"424
001
Stdt Tchg-Secondary Sch Art","","14","3.964","92.9","7.1",".",".","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","."
"570
001
Art-Exceptional Education","","15","3.800","80.0",".","20.0",".","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","."
"699
059
Independent Reading & Rsch","","3","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"951
001","","2","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"951
002","","4","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Course Total
Seminar in Art Education","","6","3.833","83.3",".","16.7",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"999
059","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"999
061","","3","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"999
070","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Course Total
Adv Independent Reading","","5","***","","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
Dept. Total
176","","74","3.940","90.5","1.4","6.8",".","",".","",".","",".","",".","",".",".","",".","1.4","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","39","3.966","94.9",".","5.1",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","39","3.966","94.9",".","5.1",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Special","","22","3.900","86.4","4.5","9.1",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","13","3.903","84.6",".","7.7",".","",".","",".","",".","",".","",".",".","",".","7.7","",".",".",".","."
"Dept. Total","","74","3.940","90.5","1.4","6.8",".","",".","",".","",".","",".","",".",".","",".","1.4","",".",".",".","."
