"","999
013","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
021","3","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
035","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Studies","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1113","3.389","48.4","15.3","21.0","4.9","5.8","1.8","0.6","1.8","0.2",".","",".","",".","0.1","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","85","3.090","34.1","10.6","28.2","4.7","14.1","3.5","2.4",".",".",".","",".","",".",".","2.4",".","."
"Sophomore","","194","3.163","37.6","14.4","24.2","7.7","8.2","5.2","2.1",".","0.5",".","",".","",".",".",".",".","."
"Junior","","217","3.181","29.0","16.6","34.1","7.8","9.2","2.3","0.5",".","0.5",".","",".","",".",".",".",".","."
"Senior","","233","3.324","32.6","23.6","30.9","6.4","5.2","0.9",".","0.4",".",".","",".","",".",".",".",".","."
"Undergraduates","","729","3.212","33.1","17.6","29.8","7.0","8.2","2.7","1.0","0.1","0.3",".","",".","",".",".","0.3",".","."
"Special","","25","3.271","44.0","20.0","8.0","12.0","16.0",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","","359","3.886","79.9","10.3","4.2",".",".",".",".","5.3",".",".","",".","",".","0.3",".",".","."
"","Dept. Total","1113","3.389","48.4","15.3","21.0","4.9","5.8","1.8","0.6","1.8","0.2",".","",".","",".","0.1","0.2",".","."
