"","999
061","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
067","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","069
999","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","13","3.800","76.9",".","15.4",".",".",".",".","7.7",".",".","",".",".",".",".",".","."
"CIV ENGR
240","Dept. Total","1266","3.281","35.0","18.1","20.9","7.3","4.7","1.7","0.6","7.9","0.1",".","",".","3.2","0.2","0.2","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","0.000",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".",".","."
"Sophomore","","33","3.346","42.4","12.1","30.3","9.1","3.0","3.0",".",".",".",".","",".",".",".",".",".","."
"Junior","","205","3.154","24.4","28.8","24.4","12.2","6.3","2.4","1.0",".",".",".","",".",".",".","0.5",".","."
"Senior","","625","3.187","31.2","20.5","28.0","9.4","7.0","2.4","0.6","0.5",".",".","",".",".","0.2",".","0.2","."
"Undergraduates","","864","3.180","30.0","22.1","27.2","10.1","6.7","2.4","0.8","0.3",".",".","",".",".","0.1","0.1","0.1","."
"Special","","27","3.474","33.3","18.5","7.4","14.8","3.7",".",".","14.8",".",".","",".",".","3.7","3.7",".","."
"Graduate","","375","3.786","46.7","8.8","7.2","0.5","0.3",".",".","24.8","0.3",".","",".","10.7",".",".","0.8","."
"","Dept. Total","1266","3.281","35.0","18.1","20.9","7.3","4.7","1.7","0.6","7.9","0.1",".","",".","3.2","0.2","0.2","0.3","."
