"L&S","","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","20","",".",".",".",".",".",".",".","90.0","5.0",".",".","5.0",".",".",".","."
"991","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
