"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","20","3.737","45.0","50.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"","105
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","105
013","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","76","3.912","80.3","17.1",".",".",".",".",".","1.3",".",".",".",".",".","1.3",".","."
"Human Dev:Career Strategies","110
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","013
115","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","115
024","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
026","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","115
028","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
030","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","031
115","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","120","3.871","80.0","10.8","4.2","0.8","0.8",".",".",".",".",".",".",".",".","0.8","2.5","."
"Coming to Terms-Cultrl Divrsty","225
001","29","3.852","72.4","13.8","6.9",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","108","3.569","57.4","19.4","11.1","7.4","2.8","1.9",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","19","3.822","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","22","3.849","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Counslng-Community Settings","791
001","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guid Prog Plan & Management","803
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","20","3.921","80.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","808
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","26","3.957","80.8","7.7",".",".",".",".",".",".",".",".",".",".","11.5",".",".","."
"Adv Assess Tech-Couns Psych","890
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practicum: Supervision","902
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Leg&Ethicl Base-Couns Psych","926
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
