"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"200
Biol&Apprec-Companion Anmls","001","","142","3.035","25.4","23.2","17.6","14.8","13.4","4.2","1.4",".",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","32","3.726","62.5","18.8","12.5","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","24","3.125","37.5",".","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","23","3.304","34.8","26.1","17.4","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","15","3.267","20.0","26.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","9","3.389","44.4",".","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","21","3.400","52.4","19.0","14.3",".",".","4.8","4.8","4.8",".",".",".",".",".",".",".","."
"375","003","","7","3.333","71.4",".",".",".",".",".","14.3","14.3",".",".",".",".",".",".",".","."
"375","004","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","83","3.808","79.5","8.4","6.0",".",".","1.2","2.4","2.4",".",".",".",".",".",".",".","."
"399","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"414
Ruminant Nutrition","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Sheep Production","001","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"434
Reproductive Physiology","001","","35","3.000","25.7","17.1","17.1","22.9","14.3",".","2.9",".",".",".",".",".",".",".",".","."
"681
Senior Honor Thesis","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
