"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.591","59.1","13.6","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","23","3.370","30.4","34.8","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.375","25.0","40.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
101","19","3.342","47.4","15.8","15.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","005
101","18","3.500","38.9","22.2","27.8","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","101
006","21","3.675","52.4","23.8","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","101
007","19","3.474","31.6","47.4","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","008
101","17","3.375","35.3","41.2","5.9","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"","101
009","21","3.262","28.6","19.0","33.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","180","3.441","38.9","28.3","18.9","8.3","2.8","0.6","0.6","1.7",".",".",".",".",".",".",".","."
"","102
001","17","2.735","17.6","5.9","17.6","35.3","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.100","20.0","20.0","35.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","004
102","23","3.196","21.7","34.8","17.4","21.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","005
102","24","3.146","4.2","41.7","37.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","006
102","14","2.577","14.3","21.4","14.3",".","28.6","7.1","7.1",".","7.1",".",".",".",".",".",".","."
"","007
102","21","3.262","14.3","42.9","28.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
008","22","3.023","13.6","13.6","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","22","3.045","31.8","4.5","22.7","22.7","18.2",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","163","3.043","17.2","23.9","28.2","16.6","11.0","1.8","0.6",".","0.6",".",".",".",".",".",".","."
"Second Semester Italian Honors","182
001","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","25","3.455","48.0","16.0","8.0","8.0","4.0","4.0",".","12.0",".",".",".",".",".",".",".","."
"","002
201","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","40","3.541","50.0","22.5","7.5","7.5","2.5","2.5",".","7.5",".",".",".",".",".",".",".","."
"","001
203","17","3.412","35.3","23.5","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
203","12","2.875","16.7","8.3","50.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","203
004","20","3.368","25.0","35.0","20.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","203
005","20","2.895","15.0","25.0","25.0","5.0","15.0","10.0",".",".",".",".",".",".",".",".","5.0","."
"Third Semester Italian","Course Total","69","3.157","23.2","24.6","29.0","8.7","7.2","4.3",".","1.4",".",".",".",".",".",".","1.4","."
"","204
001","20","3.474","25.0","45.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","204
002","19","3.294","21.1","21.1","36.8","10.5",".",".",".","10.5",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","39","3.389","23.1","33.3","28.2","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Directed Study","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","15","3.429","60.0","6.7","13.3","6.7",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","23","3.413","47.8","13.0","26.1","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"Italian for Business","313
001","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","20","3.055","40.0","15.0","15.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Corso Di Stilistca Applicta","423
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","21","3.536","38.1","19.0","19.0",".","4.8",".",".",".",".",".",".",".","19.0",".",".","."
"Special Topics in Italian Lit","451
001","11","3.750","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Topics: Ital Culture,Film,Lang","452
001","24","3.862","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dante's Divina Commedia","660
001","14","3.667","28.6","28.6","7.1",".",".",".",".","7.1",".",".",".",".","28.6",".",".","."
"Senior Honors Thesis","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
