"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","",""
"548
001
Economics of Health Care","1","***","","","","","","","","","",".",".",".",".",".",".","."
"765
001
Issues in Educ Policy Analysis","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
002","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"799
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
014","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Independent Reading","29","4.000","41.4",".",".",".",".",".",".","58.6",".",".",".",".",".",".",".","."
"805
001
Gender Issues-Intl Educ Policy","1","***","","","","","","","","","",".",".",".",".",".",".","."
"819
001
Quant Methods-Public Policy","41","3.634","41.5","43.9","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"827
001
Administrative Internship","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"830
001
Financng Elem&Secondry Educ","5","***","","","","","","","","","",".",".",".",".",".",".","."
"841
001
Smr-Internatnl Bus & Gov","18","3.528","44.4","27.8","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"854
001
Macroecon Pol & Int'l Fin Reg","20","3.375","30.0","25.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"869
001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
002","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Workshp-Prgm & Policy Analysis","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"001
871
Public Program Evaluation","15","3.300","33.3","26.7","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"873
001
Intro to Policy Analysis","27","3.556","29.6","51.9","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"878
001
Public Management","20","3.816","65.0","25.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"882
001
Pub Assistance Policy&Mgmt","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
001
Fed Budget&Tax Policy&Admin","21","3.575","33.3","42.9","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"PUB AFFR
Dept. Total
826","243","3.623","42.4","31.3","13.2","2.1",".","0.4",".","10.3",".",".",".",".","0.4",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","",""
"Senior","15","3.607","46.7","20.0","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Undergraduates","15","3.607","46.7","20.0","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Special","16","3.138","25.0","12.5","37.5","6.3",".","6.3",".","6.3",".",".",".",".","6.3",".",".","."
"Graduate","203","3.663","42.9","34.5","10.8","1.0",".",".",".","10.8",".",".",".",".",".",".",".","."
"Prof Yr 2","5","3.125","20.0","20.0",".","40.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"Prof Yr 3","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","9","3.563","55.6","11.1",".","22.2",".",".",".","11.1",".",".",".",".",".",".",".","."
"Dept. Total","243","3.623","42.4","31.3","13.2","2.1",".","0.4",".","10.3",".",".",".",".","0.4",".",".","."
