"MUSIC-PERFORMANCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","",""
"Beginning Class Piano","101","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102","003","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","","Course Total","","21","3.619","57.1","14.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","103","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","","Course Total","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Double Reeds","12","001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143","001","","16","3.800","62.5","25.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"First Year Composition","148","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-High Brass","18","001","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","048","","7","3.219",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","250","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","251","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","252","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","254","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","","Course Total","","28","3.579","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intermed Harpsichord","202","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Organ","203","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","061","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","269","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","270","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","271","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","","Course Total","","32","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Horn","217","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Tuba","225","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Percussion","227","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 264 of 396",""
