"MED","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","593","3.380","45.9","9.9","24.1","2.2","7.6","2.2","0.7","7.3","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","44","2.884","27.3","4.5","31.8","4.5","20.5","9.1",".","2.3","",".",".","",".","",".",".",".",".","."
"Junior","","122","2.971","29.5","4.1","39.3","3.3","16.4","5.7","1.6",".","",".",".","",".","",".",".",".",".","."
"Senior","","104","3.274","49.0","5.8","26.9","1.9","11.5","1.9","1.9","1.0","",".",".","",".","",".",".",".",".","."
"Undergraduates","","270","3.068","36.7","4.8","33.3","3.0","15.2","4.8","1.5","0.7","",".",".","",".","",".",".",".",".","."
"Special","","11","3.038","27.3","18.2","27.3",".","27.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","163","3.688","46.6","18.4","10.4",".",".",".",".","24.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","147","3.661","63.3","9.5","22.4","3.4","0.7",".",".",".","",".",".","",".","",".","0.7",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Professionals","","149","3.661","63.1","9.4","22.1","3.4","0.7",".",".","0.7","",".",".","",".","",".","0.7",".",".","."
"","Dept. Total","593","3.380","45.9","9.9","24.1","2.2","7.6","2.2","0.7","7.3","",".",".","",".","",".","0.2",".",".","."
