"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","144","3.073","20.1","18.8","32.6","16.7","8.3","2.8",".","0.7",".",".",".",".",".",".",".","."
"","002
300","173","3.147","24.9","18.5","31.2","15.0","5.2","3.5",".","0.6",".",".",".",".","0.6","0.6",".","."
"Introduction to Finance","Course Total","317","3.113","22.7","18.6","31.9","15.8","6.6","3.2",".","0.6",".",".",".",".","0.3","0.3",".","."
"Finc Mrkts,Instns&Econ Actv","305
001","55","3.096","23.6","20.0","18.2","16.4","16.4",".",".","5.5",".",".",".",".",".",".",".","."
"","320
001","39","2.641","17.9","7.7","28.2","7.7","23.1","15.4",".",".",".",".",".",".",".",".",".","."
"","320
002","54","2.759","16.7","11.1","27.8","7.4","31.5","5.6",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","93","2.710","17.2","9.7","28.0","7.5","28.0","9.7",".",".",".",".",".",".",".",".",".","."
"","001
325","36","2.694","22.2","11.1","13.9","16.7","22.2","13.9",".",".",".",".",".",".",".",".",".","."
"","325
002","37","2.944","21.6","16.2","18.9","10.8","29.7",".",".","2.7",".",".",".",".",".",".",".","."
"","003
325","32","2.703","21.9","9.4","18.8","18.8","15.6","15.6",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","105","2.784","21.9","12.4","17.1","15.2","22.9","9.5",".","1.0",".",".",".",".",".",".",".","."
"","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Multinational Bus Finance","445
001","21","3.452","38.1","23.8","33.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intermed Investment Theory","520
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","536
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","20","3.421","35.0","35.0","15.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"Fixd Income&Derivatv Securties","001
630","27","3.519","33.3","40.7","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","635
001","33","3.547","45.5","21.2","27.3",".","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
001","44","3.500","40.9","27.3","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","001
705","21","3.524","33.3","42.9","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","030
705","38","3.303","28.9","21.1","36.8","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","Course Total","59","3.381","30.5","28.8","30.5","6.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","21","3.425","28.6","28.6","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","40","3.525","40.0","25.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","17","3.559","58.8","5.9","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","26","3.481","38.5","23.1","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
003","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Investment Theory","820
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","836
001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","836
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","Course Total","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
