"L&S","","","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","","",""
"AFRICAN
Dept. Total
104","673","3.100","29.4","16.9","20.1","11.7","10.5","3.1","2.4","4.6","0.4",".","",".","",".","",".","0.3","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","80","2.769","21.3","10.0","26.3","11.3","20.0","6.3","3.8",".",".",".","",".","",".","",".","1.3",".","."
"Sophomore","204","3.118","27.5","19.6","22.1","15.7","10.3","2.5","1.5","0.5","0.5",".","",".","",".","",".",".",".","."
"Junior","155","3.013","28.4","14.8","20.6","10.3","13.5","4.5","2.6","4.5",".",".","",".","",".","",".","0.6",".","."
"Senior","167","3.098","29.3","18.0","19.8","13.2","7.8","2.4","3.6","4.8",".",".","",".","",".","",".",".","1.2","."
"Undergraduates","606","3.040","27.4","16.7","21.6","13.0","11.7","3.5","2.6","2.6","0.2",".","",".","",".","",".","0.3","0.3","."
"Special","5","3.000",".",".","40.0",".",".",".",".","60.0",".",".","",".","",".","",".",".",".","."
"Graduate","62","3.812","51.6","21.0","3.2",".",".",".",".","19.4","3.2",".","",".","",".","",".",".","1.6","."
"Dept. Total","673","3.100","29.4","16.9","20.1","11.7","10.5","3.1","2.4","4.6","0.4",".","",".","",".","",".","0.3","0.4","."
